
#	Règle	Nombre d'étapes
356	1541555	321
357	1544101	Infini
358	1544102	Infini
359	1544105	45 477
360	154411	Infini
361	1544151	558
362	1544152	Infini
363	1544155	7 565
364	1544501	Infini
365	1544502	Infini
366	1544505	512
367	1544511	Infini
368	1544512	Infini
369	1544515	1 457
370	1544551	4 802
371	1544552	Infini
372	1544555	138
373	1545	Infini
374	200	9
375	2010	15
376	20140	30
377	201412	45
378	2014141	609
379	2014142	3 563 608 2052
380	2014144	615
381	201415	37
382	20142	27
383	2015	Infini
384	2104	12
385	2105	21
386	2144	18
387	21450	63
388	2145121	438
389	2145122	438
390	2145124	411
391	2145141	2 478
392	2145142	87 996 2182
393	2145144	2 373
394	214515	68
395	21452	48
396	215	Infini
397	244	9
398	2450	15
399	24540	30
400	245412	45
401	2454141	609
402	2454142	3 563 608 2052
403	2454144	615
404	245415	37
405	24542	27
406	2455	Infini
407	2510	12
408	2514	18
409	2515	Infini
410	2540	12
411	2544	18
412	2545
